[2025-06-16T16:56:08.632Z] IP: 103.224.35.158, 167.82.132.20,::ffff:10.10.10.220,::ffff:10.10.86.229 | GET /branches
[2025-06-16T16:56:58.781Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.86.178 | GET /accounts/customer/C003
[2025-06-16T16:57:10.872Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.86.92 | GET /accounts/customer/C003
[2025-06-16T16:57:46.357Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.11.66,::ffff:10.10.95.63 | GET /account-details/A0010
[2025-06-16T16:57:49.265Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.88.172 | GET /customer/
[2025-06-16T16:57:49.643Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.86.229 | GET /accounts/customer/
[2025-06-16T16:57:49.995Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.86.178 | GET /account-details/
[2025-06-16T16:58:24.924Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.93.98 | GET /customer/
[2025-06-16T16:58:25.288Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.10.220,::ffff:10.10.86.87 | GET /accounts/customer/
[2025-06-16T16:58:29.122Z] IP: 4.224.24.56, 23.235.43.78,::ffff:10.10.11.66,::ffff:10.10.93.251 | GET /account-details/A0010
[2025-06-16T16:59:15.075Z] IP: 4.224.24.56, 23.235.43.75,::ffff:10.10.10.220,::ffff:10.10.92.96 | GET /customer/C003
[2025-06-16T16:59:58.908Z] IP: 4.224.24.56, 23.235.43.36,::ffff:10.10.10.220,::ffff:10.10.93.251 | GET /customer/C003
[2025-06-16T17:01:25.834Z] IP: 4.224.24.56, 23.235.43.27,::ffff:10.10.11.66,::ffff:10.10.86.178 | GET /accounts/customer/
[2025-06-16T17:01:44.111Z] IP: 4.224.24.56, 23.235.43.27,::ffff:10.10.11.66,::ffff:10.10.90.251 | GET /accounts/customer
[2025-06-16T17:02:11.431Z] IP: 4.224.24.56, 23.235.43.27,::ffff:10.10.11.66,::ffff:10.10.95.63 | GET /customer/
[2025-06-16T17:02:11.789Z] IP: 4.224.24.56, 23.235.43.27,::ffff:10.10.10.220,::ffff:10.10.93.31 | GET /accounts/customer/
[2025-06-16T17:02:12.144Z] IP: 4.224.24.56, 23.235.43.27,::ffff:10.10.10.220,::ffff:10.10.92.96 | GET /account-details/
